"ObjectClass","Name","whenCreated","whenChanged","DistinguishedName"
"attributeSchema","ms-DS-Az-Minor-Version","1/15/2016 11:22:45 AM","1/15/2016 11:22:45 AM","CN=ms-DS-Az-Minor-Version,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","MS-SQL-AllowImmediateUpdatingSubscription","1/15/2016 11:22:54 AM","1/15/2016 11:22:54 AM","CN=MS-SQL-AllowImmediateUpdatingSubscription,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"classSchema","ms-WMI-IntRangeParam","1/15/2016 11:23:18 AM","1/15/2016 11:23:18 AM","CN=ms-WMI-IntRangeParam,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-DS-Az-Object-Guid","1/15/2016 11:22:46 AM","1/15/2016 11:22:46 AM","CN=ms-DS-Az-Object-Guid,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","MS-SQL-AllowKnownPullSubscription","1/15/2016 11:22:54 AM","1/15/2016 11:22:54 AM","CN=MS-SQL-AllowKnownPullSubscription,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"classSchema","ms-WMI-IntSetParam","1/15/2016 11:23:18 AM","1/15/2016 11:23:18 AM","CN=ms-WMI-IntSetParam,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"classSchema","ms-DS-Az-Operation","1/15/2016 11:23:17 AM","1/15/2016 11:23:17 AM","CN=ms-DS-Az-Operation,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","MS-SQL-AllowQueuedUpdatingSubscription","1/15/2016 11:22:54 AM","1/15/2016 11:22:54 AM","CN=MS-SQL-AllowQueuedUpdatingSubscription,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-WMI-intValidValues","1/15/2016 11:22:55 AM","1/15/2016 11:22:55 AM","CN=ms-WMI-intValidValues,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-DS-Az-Operation-ID","1/15/2016 11:22:45 AM","1/15/2016 11:22:45 AM","CN=ms-DS-Az-Operation-ID,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","MS-SQL-AllowSnapshotFilesFTPDownloading","1/15/2016 11:22:54 AM","1/15/2016 11:22:54 AM","CN=MS-SQL-AllowSnapshotFilesFTPDownloading,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"classSchema","ms-WMI-MergeablePolicyTemplate","1/15/2016 11:23:18 AM","1/15/2016 11:23:18 AM","CN=ms-WMI-MergeablePolicyTemplate,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"classSchema","ms-DS-Az-Role","1/15/2016 11:23:17 AM","1/15/2016 11:23:17 AM","CN=ms-DS-Az-Role,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","MS-SQL-AppleTalk","1/15/2016 11:22:54 AM","1/15/2016 11:22:54 AM","CN=MS-SQL-AppleTalk,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-WMI-Mof","1/15/2016 11:22:55 AM","1/15/2016 11:22:55 AM","CN=ms-WMI-Mof,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"classSchema","ms-DS-Az-Scope","1/15/2016 11:23:17 AM","1/15/2016 11:23:17 AM","CN=ms-DS-Az-Scope,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","MS-SQL-Applications","1/15/2016 11:22:54 AM","1/15/2016 11:22:54 AM","CN=MS-SQL-Applications,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-WMI-Name","1/15/2016 11:22:55 AM","1/15/2016 11:22:55 AM","CN=ms-WMI-Name,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-DS-Az-Scope-Name","1/15/2016 11:22:46 AM","1/15/2016 11:22:46 AM","CN=ms-DS-Az-Scope-Name,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-DS-Az-Script-Engine-Cache-Max","1/15/2016 11:22:46 AM","1/15/2016 11:22:46 AM","CN=ms-DS-Az-Script-Engine-Cache-Max,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","MS-SQL-Build","1/15/2016 11:22:54 AM","1/15/2016 11:22:54 AM","CN=MS-SQL-Build,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-WMI-NormalizedClass","1/15/2016 11:22:55 AM","1/15/2016 11:22:55 AM","CN=ms-WMI-NormalizedClass,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","MS-SQL-CharacterSet","1/15/2016 11:22:54 AM","1/15/2016 11:22:54 AM","CN=MS-SQL-CharacterSet,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-DS-Az-Script-Timeout","1/15/2016 11:22:46 AM","1/15/2016 11:22:46 AM","CN=ms-DS-Az-Script-Timeout,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"classSchema","ms-WMI-ObjectEncoding","1/15/2016 11:23:18 AM","1/15/2016 11:23:18 AM","CN=ms-WMI-ObjectEncoding,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"classSchema","ms-DS-Az-Task","1/15/2016 11:23:17 AM","1/15/2016 11:23:17 AM","CN=ms-DS-Az-Task,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-WMI-Parm1","1/15/2016 11:22:55 AM","1/15/2016 11:22:55 AM","CN=ms-WMI-Parm1,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","Object-Class","1/15/2016 11:22:58 AM","1/15/2016 11:22:58 AM","CN=Object-Class,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-DS-Az-Task-Is-Role-Definition","1/15/2016 11:22:46 AM","1/15/2016 11:22:46 AM","CN=ms-DS-Az-Task-Is-Role-Definition,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-WMI-Parm2","1/15/2016 11:22:55 AM","1/15/2016 11:22:55 AM","CN=ms-WMI-Parm2,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","Object-Class-Category","1/15/2016 11:22:58 AM","1/15/2016 11:22:58 AM","CN=Object-Class-Category,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-DS-Behavior-Version","1/15/2016 11:22:46 AM","1/15/2016 11:22:46 AM","CN=ms-DS-Behavior-Version,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-WMI-Parm3","1/15/2016 11:22:55 AM","1/15/2016 11:22:55 AM","CN=ms-WMI-Parm3,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","Object-Classes","1/15/2016 11:22:59 AM","1/15/2016 11:22:59 AM","CN=Object-Classes,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-DS-BridgeHead-Servers-Used","1/15/2016 11:23:10 AM","1/15/2016 11:23:10 AM","CN=ms-DS-BridgeHead-Servers-Used,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-WMI-Parm4","1/15/2016 11:22:55 AM","1/15/2016 11:22:55 AM","CN=ms-WMI-Parm4,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","Object-Count","1/15/2016 11:22:59 AM","1/15/2016 11:22:59 AM","CN=Object-Count,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-DS-Byte-Array","1/15/2016 11:22:46 AM","1/15/2016 11:22:46 AM","CN=ms-DS-Byte-Array,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"classSchema","ms-WMI-PolicyTemplate","1/15/2016 11:23:18 AM","1/15/2016 11:23:18 AM","CN=ms-WMI-PolicyTemplate,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","Object-Guid","1/15/2016 11:22:59 AM","1/15/2016 11:22:59 AM","CN=Object-Guid,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-DS-Cached-Membership","1/15/2016 11:22:46 AM","1/15/2016 11:22:46 AM","CN=ms-DS-Cached-Membership,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"classSchema","ms-WMI-PolicyType","1/15/2016 11:23:18 AM","1/15/2016 11:23:18 AM","CN=ms-WMI-PolicyType,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","Object-Sid","1/15/2016 11:22:59 AM","1/15/2016 11:22:59 AM","CN=Object-Sid,CN=Schema,CN=Configuration,DC=LAB,DC=local"
